Store,Dept,ModelName,wmae_score,ModelType,Version
1,1,Models/RandomForest/RF_1_1V1.pkl,1597.2834,RF,1
1,1,Models/XGBoost/XGB_1_1V1.pkl,2700.0926,XGB,1
35,3,Models/RandomForest/RF_35_3V1.pkl,1844.5463,RF,1
35,3,Models/XGBoost/XGB_35_3V1.pkl,1088.4505,XGB,1
35,4,Models/RandomForest/RF_35_4V1.pkl,576.6419,RF,1
35,4,Models/XGBoost/XGB_35_4V1.pkl,769.6853,XGB,1
35,5,Models/RandomForest/RF_35_5V1.pkl,7475.2902,RF,1
35,5,Models/XGBoost/XGB_35_5V1.pkl,3995.7156,XGB,1
35,6,Models/RandomForest/RF_35_6V1.pkl,2597.7054,RF,1
35,6,Models/XGBoost/XGB_35_6V1.pkl,5010.2156,XGB,1
35,7,Models/RandomForest/RF_35_7V1.pkl,3393.7109,RF,1
35,7,Models/XGBoost/XGB_35_7V1.pkl,4599.4955,XGB,1
35,8,Models/RandomForest/RF_35_8V1.pkl,426.3718,RF,1
35,8,Models/XGBoost/XGB_35_8V1.pkl,129.3768,XGB,1
35,9,Models/RandomForest/RF_35_9V1.pkl,1572.2725,RF,1
35,9,Models/XGBoost/XGB_35_9V1.pkl,431.4268,XGB,1
35,10,Models/RandomForest/RF_35_10V1.pkl,617.4767,RF,1
35,10,Models/XGBoost/XGB_35_10V1.pkl,793.2743,XGB,1
35,2,Models/RandomForest/RF_35_2V1.pkl,2087.8625,RF,1
35,2,Models/XGBoost/XGB_35_2V1.pkl,1331.2275,XGB,1
35,11,Models/RandomForest/RF_35_11V1.pkl,1965.567,RF,1
35,11,Models/XGBoost/XGB_35_11V1.pkl,474.089,XGB,1
35,13,Models/RandomForest/RF_35_13V1.pkl,1455.5438,RF,1
35,13,Models/XGBoost/XGB_35_13V1.pkl,718.9372,XGB,1
35,14,Models/RandomForest/RF_35_14V1.pkl,1529.3782,RF,1
35,14,Models/XGBoost/XGB_35_14V1.pkl,2017.5085,XGB,1
35,16,Models/RandomForest/RF_35_16V1.pkl,1118.9907,RF,1
35,16,Models/XGBoost/XGB_35_16V1.pkl,1052.7109,XGB,1
35,17,Models/RandomForest/RF_35_17V1.pkl,866.525,RF,1
35,17,Models/XGBoost/XGB_35_17V1.pkl,109.337,XGB,1
35,18,Models/RandomForest/RF_35_18V1.pkl,2318.7358,RF,1
35,18,Models/XGBoost/XGB_35_18V1.pkl,686.5972,XGB,1
35,20,Models/RandomForest/RF_35_20V1.pkl,650.1778,RF,1
35,20,Models/XGBoost/XGB_35_20V1.pkl,181.9092,XGB,1
35,21,Models/RandomForest/RF_35_21V1.pkl,289.3625,RF,1
35,21,Models/XGBoost/XGB_35_21V1.pkl,52.2459,XGB,1
35,22,Models/RandomForest/RF_35_22V1.pkl,1498.076,RF,1
35,22,Models/XGBoost/XGB_35_22V1.pkl,2872.3958,XGB,1
35,12,Models/RandomForest/RF_35_12V1.pkl,216.4093,RF,1
35,12,Models/XGBoost/XGB_35_12V1.pkl,63.9071,XGB,1
35,1,Models/RandomForest/RF_35_1V1.pkl,1828.1656,RF,1
35,1,Models/XGBoost/XGB_35_1V1.pkl,1322.5625,XGB,1
7,1,Models/RandomForest/RF_7_1V1.pkl,904.0113,RF,1
7,1,Models/XGBoost/XGB_7_1V1.pkl,955.7151,XGB,1
7,2,Models/RandomForest/RF_7_2V1.pkl,513.1992,RF,1
7,2,Models/XGBoost/XGB_7_2V1.pkl,382.3379,XGB,1
7,22,Models/RandomForest/RF_7_22V1.pkl,561.131,RF,1
7,22,Models/XGBoost/XGB_7_22V1.pkl,273.4566,XGB,1
7,21,Models/RandomForest/RF_7_21V1.pkl,163.7238,RF,1
7,21,Models/XGBoost/XGB_7_21V1.pkl,108.6915,XGB,1
7,20,Models/RandomForest/RF_7_20V1.pkl,188.4828,RF,1
7,20,Models/XGBoost/XGB_7_20V1.pkl,79.0508,XGB,1
7,19,Models/RandomForest/RF_7_19V1.pkl,126.485,RF,1
7,19,Models/XGBoost/XGB_7_19V1.pkl,85.5596,XGB,1
7,18,Models/RandomForest/RF_7_18V1.pkl,365.9509,RF,1
7,18,Models/XGBoost/XGB_7_18V1.pkl,42.7812,XGB,1
7,17,Models/RandomForest/RF_7_17V1.pkl,482.8906,RF,1
7,17,Models/XGBoost/XGB_7_17V1.pkl,495.455,XGB,1
7,16,Models/RandomForest/RF_7_16V1.pkl,749.8380000000003,RF,1
7,16,Models/XGBoost/XGB_7_16V1.pkl,353.7684,XGB,1
7,14,Models/RandomForest/RF_7_14V1.pkl,804.0026,RF,1
7,14,Models/XGBoost/XGB_7_14V1.pkl,156.583,XGB,1
7,13,Models/RandomForest/RF_7_13V1.pkl,736.7471,RF,1
7,13,Models/XGBoost/XGB_7_13V1.pkl,92.0665,XGB,1
7,12,Models/RandomForest/RF_7_12V1.pkl,284.2984,RF,1
7,12,Models/XGBoost/XGB_7_12V1.pkl,315.0234,XGB,1
7,11,Models/RandomForest/RF_7_11V1.pkl,839.3066,RF,1
7,11,Models/XGBoost/XGB_7_11V1.pkl,117.4327,XGB,1
7,10,Models/RandomForest/RF_7_10V1.pkl,1208.3054,RF,1
7,10,Models/XGBoost/XGB_7_10V1.pkl,1138.7258,XGB,1
7,9,Models/RandomForest/RF_7_9V1.pkl,1822.9719,RF,1
7,9,Models/XGBoost/XGB_7_9V1.pkl,90.1775,XGB,1
7,8,Models/RandomForest/RF_7_8V1.pkl,540.3717,RF,1
7,8,Models/XGBoost/XGB_7_8V1.pkl,399.536,XGB,1
7,7,Models/RandomForest/RF_7_7V1.pkl,994.4295,RF,1
7,7,Models/XGBoost/XGB_7_7V1.pkl,120.7953,XGB,1
7,6,Models/RandomForest/RF_7_6V1.pkl,777.6281,RF,1
7,6,Models/XGBoost/XGB_7_6V1.pkl,1508.4333,XGB,1
7,5,Models/RandomForest/RF_7_5V1.pkl,3016.8086,RF,1
7,5,Models/XGBoost/XGB_7_5V1.pkl,1790.8283,XGB,1
7,4,Models/RandomForest/RF_7_4V1.pkl,361.7178,RF,1
7,4,Models/XGBoost/XGB_7_4V1.pkl,550.6063,XGB,1
7,3,Models/RandomForest/RF_7_3V1.pkl,557.5169999999998,RF,1
7,3,Models/XGBoost/XGB_7_3V1.pkl,139.6252,XGB,1
35,23,Models/RandomForest/RF_35_23V1.pkl,3403.0288,RF,1
35,23,Models/XGBoost/XGB_35_23V1.pkl,2680.7208,XGB,1
7,23,Models/RandomForest/RF_7_23V1.pkl,1082.0807,RF,1
7,23,Models/XGBoost/XGB_7_23V1.pkl,1908.6064,XGB,1
35,24,Models/RandomForest/RF_35_24V1.pkl,1173.2182,RF,1
35,24,Models/XGBoost/XGB_35_24V1.pkl,43.0939,XGB,1
35,26,Models/RandomForest/RF_35_26V1.pkl,601.175,RF,1
35,26,Models/XGBoost/XGB_35_26V1.pkl,110.0949,XGB,1
35,60,Models/RandomForest/RF_35_60V1.pkl,29.5329,RF,1
35,60,Models/XGBoost/XGB_35_60V1.pkl,22.9208,XGB,1
35,67,Models/RandomForest/RF_35_67V1.pkl,558.2968,RF,1
35,67,Models/XGBoost/XGB_35_67V1.pkl,53.0879,XGB,1
35,71,Models/RandomForest/RF_35_71V1.pkl,1596.6874,RF,1
35,71,Models/XGBoost/XGB_35_71V1.pkl,422.465,XGB,1
35,72,Models/RandomForest/RF_35_72V1.pkl,38885.4405,RF,1
35,72,Models/XGBoost/XGB_35_72V1.pkl,88811.0505,XGB,1
35,74,Models/RandomForest/RF_35_74V1.pkl,1421.4769,RF,1
35,74,Models/XGBoost/XGB_35_74V1.pkl,3451.8086,XGB,1
35,78,Models/RandomForest/RF_35_78V1.pkl,4.2654,RF,1
35,78,Models/XGBoost/XGB_35_78V1.pkl,0.0696,XGB,1
35,79,Models/RandomForest/RF_35_79V1.pkl,938.5976,RF,1
35,79,Models/XGBoost/XGB_35_79V1.pkl,437.1049,XGB,1
35,80,Models/RandomForest/RF_35_80V1.pkl,27.9736,RF,1
35,80,Models/XGBoost/XGB_35_80V1.pkl,3.5409,XGB,1
35,59,Models/RandomForest/RF_35_59V1.pkl,292.1676,RF,1
35,59,Models/XGBoost/XGB_35_59V1.pkl,763.3474,XGB,1
35,81,Models/RandomForest/RF_35_81V1.pkl,238.8272,RF,1
35,81,Models/XGBoost/XGB_35_81V1.pkl,42.6293,XGB,1
35,83,Models/RandomForest/RF_35_83V1.pkl,261.0283,RF,1
35,83,Models/XGBoost/XGB_35_83V1.pkl,86.9601,XGB,1
35,85,Models/RandomForest/RF_35_85V1.pkl,236.67,RF,1
35,85,Models/XGBoost/XGB_35_85V1.pkl,36.1752,XGB,1
35,87,Models/RandomForest/RF_35_87V1.pkl,700.0969,RF,1
35,87,Models/XGBoost/XGB_35_87V1.pkl,617.7025,XGB,1
35,90,Models/RandomForest/RF_35_90V1.pkl,501.5796,RF,1
35,90,Models/XGBoost/XGB_35_90V1.pkl,331.3558,XGB,1
35,91,Models/RandomForest/RF_35_91V1.pkl,275.2731,RF,1
35,91,Models/XGBoost/XGB_35_91V1.pkl,49.6944,XGB,1
35,92,Models/RandomForest/RF_35_92V1.pkl,1607.8275,RF,1
35,92,Models/XGBoost/XGB_35_92V1.pkl,216.9569,XGB,1
35,93,Models/RandomForest/RF_35_93V1.pkl,193.2242,RF,1
35,93,Models/XGBoost/XGB_35_93V1.pkl,110.1716,XGB,1
35,95,Models/RandomForest/RF_35_95V1.pkl,2556.9998,RF,1
35,95,Models/XGBoost/XGB_35_95V1.pkl,1866.7124,XGB,1
35,82,Models/RandomForest/RF_35_82V1.pkl,1133.2121,RF,1
35,82,Models/XGBoost/XGB_35_82V1.pkl,80.1856,XGB,1
35,58,Models/RandomForest/RF_35_58V1.pkl,607.1477,RF,1
35,58,Models/XGBoost/XGB_35_58V1.pkl,522.6188,XGB,1
35,56,Models/RandomForest/RF_35_56V1.pkl,141.5637,RF,1
35,56,Models/XGBoost/XGB_35_56V1.pkl,32.2461,XGB,1
35,55,Models/RandomForest/RF_35_55V1.pkl,2514.9728,RF,1
35,55,Models/XGBoost/XGB_35_55V1.pkl,2129.8198,XGB,1
35,27,Models/RandomForest/RF_35_27V1.pkl,234.2176,RF,1
35,27,Models/XGBoost/XGB_35_27V1.pkl,169.3424,XGB,1
35,28,Models/RandomForest/RF_35_28V1.pkl,78.9558,RF,1
35,28,Models/XGBoost/XGB_35_28V1.pkl,112.7083,XGB,1
35,29,Models/RandomForest/RF_35_29V1.pkl,546.6482,RF,1
35,29,Models/XGBoost/XGB_35_29V1.pkl,219.9788,XGB,1
35,30,Models/RandomForest/RF_35_30V1.pkl,356.79900000000015,RF,1
35,30,Models/XGBoost/XGB_35_30V1.pkl,257.6457,XGB,1
35,31,Models/RandomForest/RF_35_31V1.pkl,588.4454,RF,1
35,31,Models/XGBoost/XGB_35_31V1.pkl,197.5344,XGB,1
35,32,Models/RandomForest/RF_35_32V1.pkl,1096.5814,RF,1
35,32,Models/XGBoost/XGB_35_32V1.pkl,49.4253,XGB,1
35,33,Models/RandomForest/RF_35_33V1.pkl,828.1195,RF,1
35,33,Models/XGBoost/XGB_35_33V1.pkl,41.6442,XGB,1
35,34,Models/RandomForest/RF_35_34V1.pkl,1916.1705,RF,1
35,34,Models/XGBoost/XGB_35_34V1.pkl,789.5845,XGB,1
35,35,Models/RandomForest/RF_35_35V1.pkl,216.7328,RF,1
35,35,Models/XGBoost/XGB_35_35V1.pkl,44.4507,XGB,1
35,36,Models/RandomForest/RF_35_36V1.pkl,367.9113,RF,1
35,36,Models/XGBoost/XGB_35_36V1.pkl,258.595,XGB,1
35,38,Models/RandomForest/RF_35_38V1.pkl,1362.0107,RF,1
35,38,Models/XGBoost/XGB_35_38V1.pkl,641.0317,XGB,1
35,40,Models/RandomForest/RF_35_40V1.pkl,1495.2286,RF,1
35,40,Models/XGBoost/XGB_35_40V1.pkl,223.4766,XGB,1
35,41,Models/RandomForest/RF_35_41V1.pkl,282.4925,RF,1
35,41,Models/XGBoost/XGB_35_41V1.pkl,373.4125,XGB,1
35,42,Models/RandomForest/RF_35_42V1.pkl,669.677,RF,1
35,42,Models/XGBoost/XGB_35_42V1.pkl,439.3816,XGB,1
35,44,Models/RandomForest/RF_35_44V1.pkl,222.3971,RF,1
35,44,Models/XGBoost/XGB_35_44V1.pkl,14.2056,XGB,1
35,46,Models/RandomForest/RF_35_46V1.pkl,1069.9888,RF,1
35,46,Models/XGBoost/XGB_35_46V1.pkl,2264.1107,XGB,1
35,51,Models/RandomForest/RF_35_51V1.pkl,3.43,RF,1
35,51,Models/XGBoost/XGB_35_51V1.pkl,2.1054,XGB,1
35,52,Models/RandomForest/RF_35_52V1.pkl,292.4066,RF,1
35,52,Models/XGBoost/XGB_35_52V1.pkl,248.5648,XGB,1
35,54,Models/RandomForest/RF_35_54V1.pkl,38.3975,RF,1
35,54,Models/XGBoost/XGB_35_54V1.pkl,50.328,XGB,1
35,25,Models/RandomForest/RF_35_25V1.pkl,845.2048,RF,1
35,25,Models/XGBoost/XGB_35_25V1.pkl,114.2662,XGB,1
35,97,Models/RandomForest/RF_35_97V1.pkl,160.8477,RF,1
35,97,Models/XGBoost/XGB_35_97V1.pkl,44.4224,XGB,1
7,24,Models/RandomForest/RF_7_24V1.pkl,192.2851,RF,1
7,24,Models/XGBoost/XGB_7_24V1.pkl,94.3213,XGB,1
7,26,Models/RandomForest/RF_7_26V1.pkl,228.8419,RF,1
7,26,Models/XGBoost/XGB_7_26V1.pkl,29.3393,XGB,1
34,79,Models/RandomForest/RF_34_79V1.pkl,423.2293,RF,1
34,79,Models/XGBoost/XGB_34_79V1.pkl,516.1374,XGB,1
34,80,Models/RandomForest/RF_34_80V1.pkl,282.911,RF,1
34,80,Models/XGBoost/XGB_34_80V1.pkl,650.4545,XGB,1
34,81,Models/RandomForest/RF_34_81V1.pkl,301.1191,RF,1
